SWMM5 LID Report File

Project:  
LID Unit: GreenRoof in Subcatchment FS10

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 01/06/2009 10:40:00	    0.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.062	    0.000	    0.000	    0.147	    0.431
 01/06/2009 10:45:00	    0.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.058	    0.000	    0.000	    0.147	    0.415
 01/06/2009 10:50:00	    0.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.054	    0.000	    0.000	    0.147	    0.400
 01/06/2009 10:55:00	    0.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.051	    0.000	    0.000	    0.147	    0.386
 01/06/2009 11:00:00	    0.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.048	    0.000	    0.000	    0.147	    0.372
 01/06/2009 11:05:00	    0.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.045	    0.000	    0.000	    0.147	    0.360
 01/06/2009 11:10:00	    0.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.043	    0.000	    0.000	    0.147	    0.348
 01/06/2009 11:15:00	    0.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.040	    0.000	    0.000	    0.147	    0.337
 01/06/2009 11:20:00	    0.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.038	    0.000	    0.000	    0.147	    0.326
 01/06/2009 11:25:00	    0.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.036	    0.000	    0.000	    0.147	    0.316
 01/06/2009 11:30:00	    0.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.034	    0.000	    0.000	    0.147	    0.306
 01/06/2009 11:35:00	    1.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.033	    0.000	    0.000	    0.147	    0.297
 01/06/2009 11:40:00	    1.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.031	    0.000	    0.000	    0.147	    0.289
 01/06/2009 11:45:00	    1.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.030	    0.000	    0.000	    0.147	    0.280
 01/06/2009 11:50:00	    1.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.028	    0.000	    0.000	    0.147	    0.272
 01/06/2009 11:55:00	    1.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.027	    0.000	    0.000	    0.147	    0.265
 01/06/2009 12:00:00	    1.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.026	    0.000	    0.000	    0.147	    0.258
 01/06/2009 12:05:00	    1.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.025	    0.000	    0.000	    0.147	    0.251
 01/06/2009 12:10:00	    1.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.024	    0.000	    0.000	    0.147	    0.244
 01/06/2009 12:15:00	    1.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.022	    0.000	    0.000	    0.147	    0.238
 01/06/2009 12:20:00	    1.750	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.022	    0.000	    0.000	    0.149	    0.232
 01/06/2009 12:25:00	    1.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.021	    0.000	    0.000	    0.149	    0.226
 01/06/2009 12:30:00	    1.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.020	    0.000	    0.000	    0.149	    0.221
 01/06/2009 12:35:00	    2.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.019	    0.000	    0.000	    0.149	    0.216
 01/06/2009 12:40:00	    2.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.018	    0.000	    0.000	    0.149	    0.211
 01/06/2009 12:45:00	    2.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.018	    0.000	    0.000	    0.149	    0.206
 01/06/2009 12:50:00	    2.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.017	    0.000	    0.000	    0.149	    0.201
 01/06/2009 12:55:00	    2.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.016	    0.000	    0.000	    0.149	    0.197
 01/06/2009 13:00:00	    2.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.016	    0.000	    0.000	    0.149	    0.192
 01/06/2009 13:05:00	    2.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.015	    0.000	    0.000	    0.149	    0.188
 01/06/2009 13:10:00	    2.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.015	    0.000	    0.000	    0.149	    0.184
 01/06/2009 13:15:00	    2.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.014	    0.000	    0.000	    0.149	    0.180
 01/06/2009 13:20:00	    2.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.014	    0.000	    0.000	    0.149	    0.176
 01/06/2009 13:25:00	    2.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.013	    0.000	    0.000	    0.149	    0.173
 01/06/2009 13:30:00	    2.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.013	    0.000	    0.000	    0.149	    0.169
 01/06/2009 13:35:00	    3.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.012	    0.000	    0.000	    0.149	    0.166
 01/06/2009 13:40:00	    3.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.012	    0.000	    0.000	    0.149	    0.163
 01/06/2009 13:45:00	    3.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.011	    0.000	    0.000	    0.149	    0.159
 01/06/2009 13:50:00	    3.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.011	    0.000	    0.000	    0.149	    0.156
 01/06/2009 13:55:00	    3.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.011	    0.000	    0.000	    0.149	    0.153
 01/06/2009 14:00:00	    3.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.010	    0.000	    0.000	    0.149	    0.150
 01/06/2009 14:05:00	    3.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.010	    0.000	    0.000	    0.149	    0.148
 01/06/2009 14:10:00	    3.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.010	    0.000	    0.000	    0.149	    0.145
 01/06/2009 14:15:00	    3.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.009	    0.000	    0.000	    0.149	    0.142
 01/06/2009 14:20:00	    3.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.009	    0.000	    0.000	    0.149	    0.140
 01/06/2009 14:25:00	    3.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.009	    0.000	    0.000	    0.149	    0.137
 01/06/2009 14:30:00	    3.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.009	    0.000	    0.000	    0.149	    0.135
 01/06/2009 14:35:00	    4.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.008	    0.000	    0.000	    0.149	    0.133
 01/06/2009 14:40:00	    4.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.008	    0.000	    0.000	    0.149	    0.130
 01/06/2009 14:45:00	    4.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.008	    0.000	    0.000	    0.149	    0.128
 01/06/2009 14:50:00	    4.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.008	    0.000	    0.000	    0.149	    0.126
 01/06/2009 14:55:00	    4.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.007	    0.000	    0.000	    0.149	    0.124
 01/06/2009 15:00:00	    4.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.007	    0.000	    0.000	    0.149	    0.122
 01/06/2009 15:05:00	    4.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.007	    0.000	    0.000	    0.149	    0.120
 01/06/2009 15:10:00	    4.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.007	    0.000	    0.000	    0.149	    0.118
 01/06/2009 15:15:00	    4.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.007	    0.000	    0.000	    0.149	    0.116
 01/06/2009 15:20:00	    4.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.007	    0.000	    0.000	    0.149	    0.114
 01/06/2009 15:25:00	    4.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.006	    0.000	    0.000	    0.149	    0.113
